nx,ny,nl,nt,xlong,xlat,hgt,height,z,e,pressure,Tem,QVAPOR,MM,NN
1,1,1,1,104.10107421875,1.3877639770507812,18.679893493652344,21.906155,3.226261138916016,29.155886,1007.11865,299.25973999999997,0.01854361,383.09233541852393,382.58594
1,1,1,2,104.10107421875,1.3877639770507812,18.679893493652344,21.917482,3.2375888824462886,29.593621999999996,1007.53705,299.94986,0.018822389,383.8581210034475,383.34995
1,1,1,3,104.10107421875,1.3877639770507812,18.679893493652344,21.921713,3.2418193817138667,29.513906,1007.2628,300.3132,0.018775422,382.8461812680528,382.33734
1,1,1,4,104.10107421875,1.3877639770507812,18.679893493652344,21.925354000000002,3.2454605102539062,29.362011,1006.47125,300.62212999999997,0.018691021999999998,381.4972654793817,380.98785
1,1,1,5,104.10107421875,1.3877639770507812,18.679893493652344,21.927256,3.2473621368408203,29.45877,1006.0471,300.8126,0.018762618000000002,381.46912157821833,380.9594
1,1,1,6,104.10107421875,1.3877639770507812,18.679893493652344,21.930529,3.2506351470947266,29.650115999999997,1005.97906,301.0662,0.018889505,381.8164065541699,381.30618
1,1,1,7,104.10107421875,1.3877639770507812,18.679893493652344,21.929655,3.2497615814208984,29.830811999999998,1005.78937,300.9653,0.019011838,382.6801915573673,382.1701
1,1,1,8,104.10107421875,1.3877639770507812,18.679893493652344,21.930536,3.2506427764892583,30.059198,1005.35333,300.93253,0.019170444,383.56356961692336,383.05334
1,1,1,9,104.10107421875,1.3877639770507812,18.679893493652344,21.929754,3.2498607635498047,30.265825,1005.2593,300.85104,0.019308172,384.52798544542884,384.01788
1,1,1,10,104.10107421875,1.3877639770507812,18.679893493652344,21.930721,3.2508277893066406,30.47976,1004.81256,300.8505,0.019457838,385.29547121535677,384.78522000000004
1,1,1,11,104.10107421875,1.3877639770507812,18.679893493652344,21.929892000000002,3.2499980926513667,30.649626,1004.7821,300.71862999999996,0.019570302,386.211936444133,385.7018
1,1,1,12,104.10107421875,1.3877639770507812,18.679893493652344,21.927046,3.2471523284912114,30.849698999999998,1004.88055,300.4001,0.019700108,387.60711965230104,387.09744
1,1,1,13,104.10107421875,1.3877639770507812,18.679893493652344,21.923515,3.243621826171875,30.967081,1005.0045,300.0529,0.019774932,388.72057917218734,388.21146
1,1,1,14,104.10107421875,1.3877639770507812,18.679893493652344,21.922234,3.242340087890625,30.859426000000003,1005.4185,300.03146,0.019695638,388.418253965532,387.90932999999995
1,1,1,15,104.10107421875,1.3877639770507812,18.679893493652344,21.92088,3.240985870361328,30.654493,1005.5012,299.93005,0.019559069,387.7641107418197,387.2554
1,1,1,16,104.10107421875,1.3877639770507812,18.679893493652344,21.920065,3.2401714324951167,30.492682000000002,1006.07025,299.92093,0.01944125,387.2558652308688,386.74728
1,1,1,17,104.10107421875,1.3877639770507812,18.679893493652344,21.919079999999997,3.2391872406005864,30.384634000000002,1005.6846300000001,299.84247,0.019377876000000002,386.841953426679,386.33353
1,1,1,18,104.10107421875,1.3877639770507812,18.679893493652344,21.917847000000002,3.237953186035156,30.282501,1005.92834,299.8321,0.019305894,386.49883370256515,385.9906
1,1,1,19,104.10107421875,1.3877639770507812,18.679893493652344,21.917704,3.2378101348876958,30.123511999999998,1006.02325,299.8265,0.019199538999999998,385.87323141509665,385.36502
1,1,1,20,104.10107421875,1.3877639770507812,18.679893493652344,21.917282,3.237388610839844,30.017418,1006.2355,299.8292,0.01912568,385.4833031916165,384.97516
1,1,1,21,104.10107421875,1.3877639770507812,18.679893493652344,21.915531,3.235637664794922,29.820549,1006.31885,299.75507000000005,0.018994791,384.81338114417383,384.3055
1,1,1,22,104.10107421875,1.3877639770507812,18.679893493652344,21.91398,3.2340869903564453,29.664402000000003,1005.7945599999999,299.66052,0.018902456,384.18908379332765,383.68146
1,1,1,23,104.10107421875,1.3877639770507812,18.679893493652344,21.91386,3.233966827392578,29.574135,1005.54706,299.62476000000004,0.018847974,383.81040282302587,383.3028
1,1,1,24,104.10107421875,1.3877639770507812,18.679893493652344,21.913114999999998,3.2332210540771484,29.519375,1006.1019,299.65362999999996,0.01880133,383.67771740615365,383.17023
1,1,1,1,104.10107421875,1.3877639770507812,18.679893493652344,21.912317,3.2324237823486333,29.763758000000003,1005.9534,299.46286000000003,0.018964611,384.9778547165738,384.4705
1,1,1,2,104.10107421875,1.3877639770507812,18.679893493652344,21.920448,3.2405548095703125,29.191788,1006.4186,300.4041,0.018580427,381.14383434175306,380.6352
1,1,1,3,104.10107421875,1.3877639770507812,18.679893493652344,21.921329999999998,3.241436004638672,29.299546999999997,1006.5508,300.42596000000003,0.01864855,381.586996336856,381.07822000000004
1,1,1,4,104.10107421875,1.3877639770507812,18.679893493652344,21.923172,3.2432785034179688,29.517775,1006.70935,300.60236000000003,0.018788593,382.2344107818723,381.72534
1,1,1,5,104.10107421875,1.3877639770507812,18.679893493652344,21.925623,3.2457294464111333,29.570362,1005.95294,300.7484,0.018837661999999998,382.01195612943184,381.5025
1,1,1,6,104.10107421875,1.3877639770507812,18.679893493652344,21.926313,3.2464199066162114,29.630646000000002,1005.7177,300.81998,0.01888178,382.08011870413407,381.57056
1,1,1,7,104.10107421875,1.3877639770507812,18.679893493652344,21.926476,3.24658203125,29.830485999999997,1005.7782599999999,300.84302,0.019011838,382.88074229594736,382.37115
1,1,1,8,104.10107421875,1.3877639770507812,18.679893493652344,21.92705,3.247156143188477,30.252104,1005.45026,300.77414,0.019295368,384.6503331416856,384.14066
